"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 20 12:47:35 UTC 2022","Sun Feb 20 12:47:35 UTC 2022","691","","API","","","","TC003:Validate API Test",""
"passed","Sun Feb 20 12:47:15 UTC 2022","Sun Feb 20 12:47:16 UTC 2022","1585","","API","","","","TC001:Validate API Test",""
"passed","Sun Feb 20 12:47:26 UTC 2022","Sun Feb 20 12:47:27 UTC 2022","717","","API","","","","TC002:Validate API Test",""
"passed","Sun Feb 20 12:48:53 UTC 2022","Sun Feb 20 12:48:57 UTC 2022","4293","","UI","","","","TC003:Validate HomePage",""
"passed","Sun Feb 20 12:47:55 UTC 2022","Sun Feb 20 12:48:07 UTC 2022","11493","","UI","","","","TC001:Validate HomePage",""
"passed","Sun Feb 20 12:48:37 UTC 2022","Sun Feb 20 12:48:41 UTC 2022","4276","","UI","","","","TC002:Validate HomePage",""
"passed","Sun Feb 20 12:47:43 UTC 2022","Sun Feb 20 12:47:44 UTC 2022","692","","API","","","","TC004:Validate API Test",""
